customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,DailyAccounts,Churn_numerico
0002-ORFBO,NO,FEMALE,0,YES,YES,9,YES,NO,DSL,NO,YES,NO,YES,YES,NO,ONE YEAR,YES,MAILED CHECK,65.6,593.3,2.1550591327201047,0
0003-MKNFE,NO,MALE,0,NO,NO,9,YES,YES,DSL,NO,NO,NO,NO,NO,YES,MONTH-TO-MONTH,NO,MAILED CHECK,59.9,542.4,1.9678055190538764,0
0004-TLHLJ,YES,MALE,0,NO,NO,4,YES,NO,FIBER OPTIC,NO,NO,YES,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,73.9,280.85,2.4277266754270697,1
0011-IGKFF,YES,MALE,1,YES,NO,13,YES,NO,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,98.0,1237.85,3.219448094612352,1
0013-EXCHZ,YES,FEMALE,1,YES,NO,3,YES,NO,FIBER OPTIC,NO,NO,NO,YES,YES,NO,MONTH-TO-MONTH,YES,MAILED CHECK,83.9,267.4,2.7562417871222076,1
0013-MHZWF,NO,FEMALE,0,NO,YES,9,YES,NO,DSL,NO,NO,NO,YES,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),69.4,571.45,2.2798948751642576,0
0013-SMEOE,NO,FEMALE,1,YES,NO,71,YES,NO,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),109.7,7904.25,3.6038107752956634,0
0014-BMAQU,NO,MALE,0,YES,NO,63,YES,YES,FIBER OPTIC,YES,NO,NO,YES,NO,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),84.65,5377.8,2.780880420499343,0
0015-UOCOJ,NO,FEMALE,1,NO,NO,7,YES,NO,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,48.2,340.35,1.583442838370565,0
0016-QLJIS,NO,FEMALE,0,YES,YES,65,YES,YES,DSL,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,MAILED CHECK,90.45,5957.9,2.971419185282523,0
0017-DINOC,NO,MALE,0,NO,NO,54,NO,NO,DSL,YES,NO,NO,YES,YES,NO,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),45.2,2460.55,1.4848883048620236,0
0017-IUDMW,NO,FEMALE,0,YES,YES,72,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),116.8,8456.75,3.8370565045992113,0
0018-NYROU,NO,FEMALE,0,YES,NO,5,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,68.95,351.5,2.265111695137976,0
0019-EFAEP,NO,FEMALE,0,NO,NO,72,YES,YES,FIBER OPTIC,YES,YES,YES,NO,YES,NO,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),101.3,7261.25,3.3278580814717476,0
0019-GFNTW,NO,FEMALE,0,NO,NO,56,NO,NO,DSL,YES,YES,YES,YES,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),45.05,2560.1,1.4799605781865963,0
0020-INWCK,NO,FEMALE,0,YES,YES,71,YES,YES,FIBER OPTIC,NO,YES,YES,NO,NO,YES,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),95.75,6849.4,3.145532194480946,0
0020-JDNXP,NO,FEMALE,0,YES,YES,34,NO,NO,DSL,YES,NO,YES,YES,YES,YES,ONE YEAR,NO,MAILED CHECK,61.25,1993.2,2.01215505913272,0
0021-IKXGC,NO,FEMALE,1,NO,NO,1,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,72.1,72.1,2.3685939553219444,0
0022-TCJCI,YES,MALE,1,NO,NO,45,YES,NO,DSL,YES,NO,YES,NO,NO,YES,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),62.7,2791.5,2.059789750328515,1
0023-HGHWL,YES,MALE,1,NO,NO,1,NO,NO,DSL,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,25.1,25.1,0.8245729303547963,1
0023-UYUPN,NO,FEMALE,1,YES,NO,50,YES,YES,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,NO,ELECTRONIC CHECK,25.2,1306.3,0.8278580814717477,0
0023-XUOPT,YES,FEMALE,0,YES,NO,13,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,94.1,1215.6,3.0913272010512483,1
0027-KWYKW,NO,FEMALE,0,YES,YES,23,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,83.75,1849.95,2.7513140604467803,0
0030-FNXPP,NO,FEMALE,0,NO,NO,3,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,19.85,57.2,0.6521024967148489,0
0031-PVLZI,YES,FEMALE,0,YES,YES,4,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,20.35,76.35,0.6685282522996058,1
0032-PGELS,YES,FEMALE,0,YES,YES,1,NO,NO,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),30.5,30.5,1.0019710906701709,1
0036-IHMOT,NO,FEMALE,0,YES,YES,55,YES,NO,FIBER OPTIC,NO,YES,YES,YES,YES,YES,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),103.7,5656.75,3.4067017082785807,0
0040-HALCW,NO,MALE,0,YES,YES,54,YES,NO,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),20.4,1090.6,0.6701708278580814,0
0042-JVWOJ,NO,MALE,0,NO,NO,26,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),19.6,471.85,0.6438896189224704,0
0042-RLHYP,NO,FEMALE,0,YES,YES,69,YES,NO,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),19.7,1396.9,0.6471747700394218,0
0048-LUMLS,NO,MALE,0,YES,YES,37,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,YES,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),91.2,3247.55,2.9960578186596583,0
0048-PIHNL,NO,FEMALE,0,YES,NO,49,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),20.45,900.9,0.6718134034165572,0
0052-DCKON,NO,MALE,0,YES,NO,66,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),115.8,7942.15,3.8042049934296975,0
0052-YNYOT,NO,FEMALE,0,NO,NO,67,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,NO,ELECTRONIC CHECK,20.55,1343.4,0.6750985545335085,0
0056-EPFBG,NO,MALE,0,YES,YES,20,NO,NO,DSL,YES,NO,YES,YES,NO,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),39.4,825.4,1.2943495400788436,0
0057-QBUQH,NO,FEMALE,0,NO,YES,43,YES,YES,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,YES,ELECTRONIC CHECK,25.1,1070.15,0.8245729303547963,0
0058-EVZWM,NO,FEMALE,0,YES,NO,55,YES,YES,FIBER OPTIC,YES,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),89.8,4959.6,2.950065703022339,0
0060-FUALY,NO,FEMALE,0,YES,NO,59,YES,YES,FIBER OPTIC,YES,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.75,5597.65,3.112680683311432,0
0064-SUDOG,NO,FEMALE,0,YES,YES,12,YES,NO,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),20.3,224.5,0.6668856767411301,0
0064-YIJGF,NO,MALE,0,YES,YES,27,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),75.75,1929.0,2.48850197109067,0
0067-DKWBL,YES,MALE,1,NO,NO,2,YES,NO,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,49.25,91.1,1.6179369250985545,1
0068-FIGTF,NO,FEMALE,0,NO,NO,27,YES,NO,DSL,NO,YES,YES,YES,YES,YES,ONE YEAR,NO,MAILED CHECK,78.2,2078.95,2.568988173455979,0
0071-NDAFP,NO,MALE,0,YES,YES,25,YES,YES,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),25.5,630.6,0.8377135348226018,0
0074-HDKDG,NO,MALE,0,YES,YES,25,YES,NO,DSL,YES,YES,YES,NO,NO,NO,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),61.6,1611.0,2.02365308804205,0
0076-LVEPS,NO,MALE,0,NO,YES,29,NO,NO,DSL,YES,YES,YES,YES,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,45.0,1242.45,1.4783180026281209,0
0078-XZMHT,NO,MALE,0,YES,NO,72,YES,YES,DSL,NO,YES,YES,YES,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),85.15,6316.2,2.7973061760841,0
0080-EMYVY,NO,FEMALE,0,NO,NO,14,YES,NO,DSL,NO,YES,NO,NO,NO,NO,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),51.45,727.85,1.6902102496714848,0
0080-OROZO,NO,FEMALE,0,NO,NO,35,YES,NO,FIBER OPTIC,NO,NO,YES,YES,YES,YES,ONE YEAR,YES,ELECTRONIC CHECK,99.25,3532.0,3.260512483574244,0
